id,original_title,Company_X,Director_X,Test
19995,Avatar,0.20,2.60,
597,Titanic,0.47,2.60,
24428,TheAvengers,0.47,1.66,
122,TheLordoftheRings:TheReturnoftheKing,0.42,2.61,
168259,Furious7,0.49,1.74,
155,TheDarkKnight,0.07,2.90,
99861,Avengers:AgeofUltron,0.34,1.66,
121,TheLordoftheRings:TheTwoTowers,0.42,2.61,
109445,Frozen,1.00,1.24,
49026,TheDarkKnightRises,0.13,2.90,
27205,Inception,0.13,2.90,
120,TheLordoftheRings:TheFellowshipoftheRing,0.42,2.61,
10193,ToyStory3,1.00,1.49,
150540,InsideOut,1.00,2.05,
11,StarWars,0.26,2.02,
8587,TheLionKing,1.00,1.82,
13,ForrestGump,0.47,2.97,
57158,TheHobbit:TheDesolationofSmaug,0.42,2.61,
135397,JurassicWorld,0.10,0,
12,FindingNemo,0.14,1.84,
157336,Interstellar,0.47,2.90,
671,HarryPotterandthePhilosopher'sStone,0.19,2.18,
118340,GuardiansoftheGalaxy,0.34,1.63,
329,JurassicPark,0.49,4.37,
271110,CaptainAmerica:CivilWar,0.08,1.43,
674,HarryPotterandtheGobletofFire,0.06,1.79,
1891,TheEmpireStrikesBack,0.26,1.59,
673,HarryPotterandthePrisonerofAzkaban,0.19,2.05,
675,HarryPotterandtheOrderofthePhoenix,0.18,1.40,
767,HarryPotterandtheHalf-BloodPrince,0.18,1.40,
68721,IronMan3,0.34,1.34,
14160,Up,0.14,2.05,
672,HarryPotterandtheChamberofSecrets,0.19,2.18,
58,PiratesoftheCaribbean:DeadMan'sChest,1.00,2.11,
37724,Skyfall,0.10,2.25,
177572,BigHero6,1.00,1.54,
101299,TheHungerGames:CatchingFire,0.05,1.84,
1892,ReturnoftheJedi,0.26,1.70,
745,TheSixthSense,0.04,1.59,
49051,TheHobbit:AnUnexpectedJourney,0.42,2.61,
100402,CaptainAmerica:TheWinterSoldier,0.34,1.43,
122917,TheHobbit:TheBattleoftheFiveArmies,0.42,2.61,
127585,X-Men:DaysofFuturePast,0.18,2.36,
293660,Deadpool,0.18,1.27,
424,Schindler'sList,0.49,4.37,
93456,DespicableMe2,0.49,1.10,
238,TheGodfather,0.47,2.58,
601,E.T.theExtra-Terrestrial,0.49,4.37,
857,SavingPrivateRyan,0.47,4.37,
286217,TheMartian,0.18,2.72,
129,SpiritedAway,0.03,2.25,
10681,WALLE,1.00,1.84,
603,TheMatrix,0.10,1.93,
98,Gladiator,0.12,2.72,
82702,HowtoTrainYourDragon2,0.07,1.60,
285,PiratesoftheCaribbean:AtWorld'sEnd,1.00,2.11,
22,PiratesoftheCaribbean:TheCurseoftheBlackPearl,1.00,2.11,
1895,StarWars:EpisodeIII-RevengeoftheSith,0.26,2.02,
497,TheGreenMile,0.02,2.25,
105,BacktotheFuture,0.49,2.97,
807,Se7en,0.02,2.59,
2062,Ratatouille,1.00,1.43,
280,Terminator2:JudgmentDay,0.03,2.60,
680,PulpFiction,0.02,2.80,
49047,Gravity,0.18,2.05,
119450,DawnofthePlanetoftheApes,0.04,1.27,
211672,Minions,0.49,0.49,
106646,TheWolfofWallStreet,0.47,2.97,
4935,Howl'sMovingCastle,0.03,2.25,
9806,TheIncredibles,1.00,1.73,
68718,DjangoUnchained,0.10,2.80,
274,TheSilenceoftheLambs,0.01,1.55,
210577,GoneGirl,0.18,2.59,
585,"Monsters,Inc.",1.00,0,
278927,TheJungleBook,1.00,1.63,
14,AmericanBeauty,0.12,2.25,
38757,Tangled,1.00,1.17,
207,DeadPoetsSociety,0.01,1.99,
278,TheShawshankRedemption,0.02,2.25,
1726,IronMan,0.34,1.63,
89,IndianaJonesandtheLastCrusade,0.26,4.37,
16869,InglouriousBasterds,0.49,2.80,
809,Shrek2,0.12,1.41,
128,PrincessMononoke,0.02,2.25,
550,FightClub,0.00,2.59,
102651,Maleficent,1.00,1.07,
770,GonewiththeWind,0.02,1.54,
36557,CasinoRoyale,0.04,1.53,
10191,HowtoTrainYourDragon,0.07,1.50,
1422,TheDeparted,0.01,2.97,
190859,AmericanSniper,0.10,2.90,
85,RaidersoftheLostArk,0.26,4.37,
62211,MonstersUniversity,1.00,0.82,
1865,PiratesoftheCaribbean:OnStrangerTides,1.00,1.49,
205596,TheImitationGame,0.01,1.77,
177677,Mission:Impossible-RogueNation,0.47,1.04,
862,ToyStory,0.14,1.50,
581,DanceswithWolves,0.02,1.20,
578,Jaws,0.49,4.37,
137106,TheLegoMovie,0.10,1.60,